id,name,price,rating,url,img_url
71,Deepcool CG580 Panoramic Single Chamber ATX Computer Case Black,3850,5,https://btechcustoms.com/product/deepcool-cg580-panoramic-single-chamber-atx-computer-case-black/,
72,Deepcool CG580 Panoramic Single Chamber ATX Computer Case White,3999,5,https://btechcustoms.com/product/deepcool-cg580-panoramic-single-chamber-atx-computer-case-white/,
73,Deepcool CH160 Mini-ITX Mini Tower Cabinet PC Case Black,2999,5,https://btechcustoms.com/product/deepcool-ch160-mini-itx-mini-tower-cabinet-pc-case-black/,https://btechcustoms.com/wp-content/uploads/2024/11/DEEPCOOL-CH160-BLACK.webp
74,Deepcool CH160 Mini-ITX Mini Tower Cabinet PC Case White,3200,5,https://btechcustoms.com/product/deepcool-ch160-mini-itx-mini-tower-cabinet-pc-case-white/,https://btechcustoms.com/wp-content/uploads/2024/11/DEEPCOOL-CH160-WHITE.webp
75,Deepcool CH360 Digital Micro Tower Mini-ITX/Micro ATX Case With Digital Display Screen With Tempered Glass Window Black,4200,5,https://btechcustoms.com/product/deepcool-ch360-digital-micro-tower-mini-itxmicro-atx-case-with-digital-display-screen-with-tempered-glass-window-black/,
76,Deepcool CH510 Mesh Digital Mid-Tower ATX Case With Digital LCD Display And Magnetic Tempered Glass Window (R-CH510-BKNSE1-G-1),4850,5,https://btechcustoms.com/product/deepcool-ch510-mesh-digital-mid-tower-atx-case-with-digital-lcd-display-and-magnetic-tempered-glass-window-r-ch510-bknse1-g-1/,https://btechcustoms.com/wp-content/uploads/2024/11/DEEPCOOL-CH510-MESH-DIGITAL-BLACK.webp
77,Deepcool CH560 Digital WH Airflow Case w/ Status Screen (White) (R-CH560-WHAPE4D-G-1),6500,5,https://btechcustoms.com/product/deepcool-ch560-digital-wh-airflow-case-w-status-screen-white-r-ch560-whape4d-g-1/,https://btechcustoms.com/wp-content/uploads/2024/11/DEEPCOOL-CH560-DIGITAL-WHITE.webp
78,DeepCool CK-11509 CPU Air Cooler,250,5,https://btechcustoms.com/product/deepcool-ck-11509-cpu-air-cooler/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-CK-11509.png
79,DeepCool CK-AM209 V2 Air Cooler,250,5,https://btechcustoms.com/product/deepcool-ck-am209-v2-air-cooler/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-CK-AM209-V2.png
80,Deepcool EK720 XS 120*20*(1.0mm) High Performance Thermal Pad (R-EK720-GYXS10-G-1),420,5,https://btechcustoms.com/product/deepcool-ek720-xs-1202010mm-high-performance-thermal-pad-r-ek720-gyxs10-g-1/,
81,Deepcool Gamma Archer CPU Air Cooler,350,5,https://btechcustoms.com/product/deepcool-gamma-archer-cpu-air-cooler/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-GAMMA-ARCHER-CPU-COOLER-INTEL-AMD.png
82,DEEPCOOL Gammaxx AG400 BK ARGB CPU air cooler,2000,5,https://btechcustoms.com/product/deepcool-gammaxx-ag400-bk-argb-cpu-air-cooler/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-Gammaxx-AG400-BK-ARGB-.png
83,Deepcool Gammaxx AG400 WH ARGB 120MM CPU Cooler (White) (R-AG400-WHANMC-G-2),1900,5,https://btechcustoms.com/product/deepcool-gammaxx-ag400-wh-argb-120mm-cpu-cooler-white-r-ag400-whanmc-g-2/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-Gammaxx-AG400-WH-ARGB.png
